NAME,ADDRESS,NEIGHBOURHOOD
EGLINTON PARK - Outdoor Tennis Court (  2),200 EGLINTON AVE W,North York
FAIRMOUNT PARK - Outdoor Tennis Court (  1),1725 GERRARD ST E,Toronto East York
FAIRMOUNT PARK - Outdoor Tennis Court (  2),1725 GERRARD ST E,Toronto East York
FAIRMOUNT PARK - Outdoor Tennis Court (  3),1725 GERRARD ST E,Toronto East York
FAIRMOUNT PARK - Outdoor Tennis Court (  4),1725 GERRARD ST E,Toronto East York
FAIRMOUNT PARK - Outdoor Tennis Court (  5),1725 GERRARD ST E,Toronto East York
FENSIDE PARK - Outdoor Tennis Court (  1),30 SLIDELL CRES,North York
FENSIDE PARK - Outdoor Tennis Court (  2),30 SLIDELL CRES,North York
FENSIDE PARK - Outdoor Tennis Court (  3),30 SLIDELL CRES,North York
FENSIDE PARK - Outdoor Tennis Court (  4),30 SLIDELL CRES,North York
FIRGROVE PARK - Outdoor Tennis Court (  1),254 FIRGROVE CRES,Etobicoke York
FIRGROVE PARK - Outdoor Tennis Court (  2),254 FIRGROVE CRES,Etobicoke York
FIRGROVE PARK - Outdoor Tennis Court (  3),254 FIRGROVE CRES,Etobicoke York
FLAGSTAFF PARK - Outdoor Tennis Court (  1),42 MERCURY RD,Etobicoke York
FLAGSTAFF PARK - Outdoor Tennis Court (  2),42 MERCURY RD,Etobicoke York
GIHON SPRING PARK - Outdoor Tennis Court (  1),75 GIHON SPRING DR,Etobicoke York
GIHON SPRING PARK - Outdoor Tennis Court (  2),75 GIHON SPRING DR,Etobicoke York
GIOVANNI CABOTO - Outdoor Tennis Court,1367 ST CLAIR AVE W,Etobicoke York
GLEN PARK - Outdoor Tennis Court (  1),44A EASTGLEN CRES,Etobicoke York
GLEN PARK - Outdoor Tennis Court (  2),44A EASTGLEN CRES,Etobicoke York
GLENDORA PARK - Outdoor Tennis Court (  1),201 GLENDORA AVE,North York
GLENDORA PARK - Outdoor Tennis Court (  2),201 GLENDORA AVE,North York
GOULDING PARK - Outdoor Tennis Court (  1),80 PATRICIA AVE,North York
GOULDING PARK - Outdoor Tennis Court (  2),80 PATRICIA AVE,North York
GOULDING PARK - Outdoor Tennis Court (  3),80 PATRICIA AVE,North York
GRACEDALE PARK - Outdoor Tennis Court (  1),176 GRACEDALE BLVD,Etobicoke York
GRACEDALE PARK - Outdoor Tennis Court (  2),176 GRACEDALE BLVD,Etobicoke York
GRACEDALE PARK - Outdoor Tennis Court (  3),176 GRACEDALE BLVD,Etobicoke York
GRANDRAVINE PARK - Outdoor Tennis Court (  1),23 GRANDRAVINE DR,North York
GRANDRAVINE PARK - Outdoor Tennis Court (  2),23 GRANDRAVINE DR,North York
